Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Output
dd77e983fb3573698a283216e13215a0928ab962e8b1f3916e386b2c94489b2d,0.6139175257731959,0.29134295227524976,0.09234607862971206,0.0,0.6380694309738267,0.75,0.25,0.4774950009046655
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,0.37178732587796737,0.33999999999999997,0.0007368291784354661,0.041098005563590216,0.21582331265987703,0.2,1.0,0.4409273340598329
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,1.0,1.0,1.0,0.00719971313331598,1.0,0.45,0.0,0.8399429778347797
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3879291816157596
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,0.3107710417892878,0.14820512820512818,0.00015629709845600795,0.7662855289237072,0.4579532843327407,0.0,0.0,0.42471268369648624
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,0.6254659603688445,0.42,0.4279302914940887,0.006451039519420431,0.05977502144044265,1.0,0.5,0.4895135300219638
9f15e648804fc9af881336be21680d262e9da00a6c8219dd1d16b2765e82a3f4,0.7143417696684324,0.26974358974358975,0.07247719736974313,0.0,0.2250453788036229,0.75,0.25,0.4542427295974056
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,0.4795345938084355,0.3550267119961146,0.0007514223351343615,0.04007159613235678,0.6737385729932766,0.2,1.0,0.45104034519679276
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,1.0,1.0,1.0,0.006976426420051763,0.945895759917018,0.45,0.0,0.8391423507682061
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,0.0,0.0,0.0,1.0,0.146997930398481,0.0,0.0,0.38978741555599805
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,0.3234988572615834,0.14084507042253522,0.00015505540248804287,0.7355917371162282,1.0,0.0,0.0,0.431990562267522
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,0.5244130479950134,0.40407965031568727,0.5006381126179317,0.006303591330507764,0.0,1.0,0.5,0.5023221965080689
6f71d90737436241f73fe7a0333ac128b7891e409166a6f3ef93fb07c653057c,0.6804487845418659,0.29674599320058276,0.08147565033814007,0.0,0.5847227131722021,0.75,0.25,0.4658159026562505
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,0.25438130642591605,0.2959841348537432,0.0006092793241061365,0.037351225876212604,0.3398318515365042,0.2,1.0,0.43925181128892565
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,1.0,1.0,1.0,0.005886382198421433,1.0,0.45,0.0,0.8420833090814999
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,0.0,0.0,0.0,1.0,0.4337946807574261,0.0,0.0,0.3844530511430046
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,0.20950610727562405,0.13634110064452157,0.00013201052022299625,0.6862655240918291,0.8270146829926485,0.0,0.0,0.4297201012710074
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,0.5111524163568774,0.42092216162617746,0.3920306264406918,0.004933360104403649,0.0,1.0,0.5,0.48549995552888003
adc00c455cb8d2e2791d880bd3a9c87575e4c747f373402ccfbaf4c0485365d1,0.8279341476367501,0.2588001983143282,0.0657209297602486,0.0,0.5472593539401908,0.75,0.25,0.45565239376352284
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,0.36084234490608985,0.30530004380201486,0.0005173215021613517,0.03482571953365348,0.42500271134383333,0.2,1.0,0.43420757965725976
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,1.0,1.0,1.0,0.004574389294038842,1.0,0.45,0.0,0.8438314149927693
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37959242162153944
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,0.02200720925820521,0.11782742006132281,0.00013152241580373348,0.7393569603141362,0.49650013372878965,0.0,0.0,0.4146437509964874
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,0.47998482261430464,0.3232588699080157,0.34379959491095935,0.006610227174594448,0.28576674987941236,1.0,0.5,0.4556083473572192
b086d86ee32f5238c62c5f4b3cfa911a4dc0ab49df3cb699ad204c94baa261c7,0.6795674445076834,0.22426631625054746,0.05735254145148139,0.0,0.49136670462142557,0.75,0.25,0.4418885352336414
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,0.36862516967229,0.28571428571428575,0.000630210862355749,0.039511226285187155,0.40489676022099824,0.2,1.0,0.4374419038472434
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,1.0,1.0,1.0,0.004897657296792948,1.0,0.45,0.0,0.8423241931155242
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,0.0,0.0,0.0,1.0,0.07013408880753363,0.0,0.0,0.38300997857140073
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,0.328291642427768,0.13041613041613043,0.00013430723296106126,0.718292099912112,0.3275563119834464,0.0,0.0,0.42428536064749356
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,0.6082993988753153,0.33547833547833544,0.45508456190013746,0.006175282429726687,0.0,1.0,0.5,0.48186223991466665
af36308ced7ebe4ebc44c1c079dd669c9e07643108f1806874d281dfc39d06bb,0.9104130308318792,0.24882024882024883,0.07571828541320139,0.0,0.40370762124264553,0.75,0.25,0.4559685145772569
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,0.20319370516084245,0.3377016129032258,0.0007910697020304122,0.03788017174214594,0.058444936069806386,0.2,1.0,0.4503107270837677
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,1.0,1.0,1.0,0.005540826016740767,1.0,0.45,0.0,0.841183478540792
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,0.0,0.0,0.0,1.0,0.3916382263532146,0.0,0.0,0.3858307142074751
